음 식 명,중량(g),에너지(kcal),탄수화물(g),당류(g),지방(g),단백질(g),칼슘(mg),인(mg),나트륨(mg),칼륨(mg),마그네슘(mg),철(mg),아연(mg),콜레스테롤(mg),트랜스지방(g)
양파장아찌,50.0,19.715,3.5385,1.4985,0.05,0.577,5.05,13.405000000000001,423.605,63.33500000000001,-,0.179,0.127,0.0,0
오이지,50.0,11.44,2.392,0.0,0.312,1.144,30.220000000000002,80.08,925.9975000000001,328.1925,-,0.6295,0.315,0.0,0
무피클,50.0,17.0,4.192,1.992,0.052000000000000005,0.404,13.08,11.56,6.6,108.32,-,0.35200000000000004,0.1515,0.0,0
오이피클,50.0,54.0,14.642,1.992,0.152,0.304,15.08,4.06,333.6,27.32,-,0.502,0.051500000000000004,0.0,0
단무지,30.0,3.9042000000000003,0.6640999999999999,0.2299,0.1632,0.11290000000000001,5.196300000000001,3.536,173.55040000000002,16.0789,-,0.09359999999999999,0.0362,0.0,0
오징어젓갈,10.0,6.826,0.29359999999999997,0.0,0.09768,1.2384,2.396,17.6,179.109,27.041,2.066,0.06596,0.1097,13.68,0
명란젓,10.0,12.0,0.27,0.0,0.30000000000000004,2.0500000000000003,2.8000000000000003,24.900000000000002,353.1,41,0,0.12,0.195,35.0,0
생연어,100.0,110.29,1.002,0.0,1.938,20.908,26.91,249.04,213.06,349.6,0.8,1.255,0.562,60.0,0
생선물회,800.0,575.0052000000001,81.4548,29.3748,14.128800000000002,36.7668,267.85080000000005,499.4724000000001,2986.2335999999996,1560.1824000000004,-,8.1732,2.8895999999999997,0.756,0
광어회 ,100.0,116.2,9.34,5.46,1.36,17.2,46.6,171.2,754.4,382,0,1.54,0.402,74.96,0
훈제연어,100.0,169.0,9.34,5.46,6.16,19.279999999999998,20.2,200,1260.8,218.8,0,0.9,0.61,141.6,0
육회,150.0,236.55599999999998,15.946499999999999,7.0425,8.049,25.032000000000004,45.811499999999995,244.28250000000003,433.42350000000005,608.349,-,3.048,4.7715,57.75,0
육사시미,150.0,203.54999999999998,6.959999999999999,4.095,6.074999999999999,29.279999999999998,30.15,252,888.03,541.8,0,7.947,3.6414,63.449999999999996,0
가래떡,100.0,205.042,45.045,0.0,0.325,3.52,2.46,77,254.681,90.528,0,0.221,0.826,0.0,0
경단,100.0,303.79,67.042,0.0,0.538,6.584,17.87,109.13,186.364,99.273,0,1.573,1.4,0.0,0
꿀떡,100.0,225.916,50.356,9.5805,0.761,3.236,7.104,71.46,251.339,83.74,0.1,0.3,0.778,0.0,0
시루떡,100.0,223.62,49.029,5.994,0.275,5.5,16.63,59.45,278.948,212.643,0,1.11,1.35,0.0,0
메밀전병,100.0,166.141,24.821,0.0,5.496,5.792,37.041,137.628,340.662,274.485,69.819,1.409,0.973,0.0,0
찰떡,100.0,216.185,44.876,5.495,1.24,5.807,15.185,83.83,236.819,151.4,9.89,1.612,1.51,0.0,0
무지개떡,100.0,218.18,48.698,6.993,0.865,4.004,26.73,89.28,277.709,115.005,0,0.476,1.015,0.0,0
백설기,100.0,218.82,48.195,11.988,0.792,4.044,10.82,78.99,296.946,96.9,4.2,0.548,0.752,0.0,0
송편,100.0,234.899,46.821,1.5163000000000002,2.698,4.17,45.979,77.16,236.545,67.894,19.97,1.132,0.574,0.0,0
수수부꾸미,100.0,258.99,46.151,2.997,5.668,5.498,6.37,95.48,270.036,162.45,0,1.051,1.33,0.0,0
수수팥떡,100.0,212.73,45.17,0.999,0.678,5.98,7.49,99.64,236.379,182.035,0,1.125,1.404,0.0,0
쑥떡,100.0,238.06,54.64,9.99,0.45,4.531,65.2,65.55,256.148,343.623,17.5,1.593,0.553,0.0,0
